ลำดับที่,ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,East,North,ลักษณะสำคัญ
302,ชุมชนไทดำบ้านเกาะแรต,บางปลา,บางเลน,นครปฐม,กลาง,623187.5145,1544752.695,ชุมชนไทดำบ้านเกาะแรต เป็นชุมชนหมู่บ้านของชาวไทยเชื้อสายโซ่ง (หรือไทยทรงดำหรือไทดำ) ซึ่งตั้งถิ่นฐานมาก่อน พ.ศ. 2441 บ้านเรือนและร้านค้าส่วนใหญ่ตั้งอยู่บนพื้นที่ราบลุ่มระหว่างคลองท่าสาร-บางปลา กับทางหลวงหมายเลข 3296 ปัจจุบันเป็นแหล่งทอผ้าและผลิตเครื่องจักสานต่าง ๆ รวมถึงมีประเพณีพื้นถิ่นที่โดดเด่น เช่น การเล่นคอน (ในเทศกาลอิ้นก้อน) การลงข่วงและพิธีเสนผีเฮือน
303,ชุมชนตลาดเก่าหัวหิน,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,ตะวันตก,604210.9206,1390097.601,"ชุมชนตลาดเก่าหัวหิน เป็นชุมชนย่านตลาดเก่าหัวหินต่อเนื่องกับบริเวณสถานีรถไฟหัวหิน โดยมีบ้านเรือนหนาแน่น บริเวณถนนนเรศดำริ ถนนเพชรเกษม สถานีรถไฟหัวหิน ตลาดหัวหินและสะพานปลาหัวหิน ซึ่งจะพบเห็นอาคารเรือนไม้แบบเก่าปะปนอยู่กับอาคารทันสมัยเป็นร้านค้า รีสอร์ทและโรงแรม โดยปัจจุบันบริเวณตลาดเก่าหัวหินได้มี ""ตลาดโต้รุ่งหัวหิน"" อยู่ด้วย"
304,ชุมชนตลาดริมทางรถไฟปราณบุรี (บ้านเมืองเก่า),ปราณบุรี,ปราณบุรี,ประจวบคีรีขันธ์,ตะวันตก,600764.9479,1368502.584,"ชุมชนตลาดริมทางรถไฟปราณบุรี (บ้านเมืองเก่า) เป็นย่านชุมชนการค้าและที่พักอาศัยบริเวณโดยอบสถานีรถไฟปราณบุรีและริมทางรถไฟ ต่อเนื่องถึงบริเวณโรงเรียนบ้านเมืองเก่าและบริเวณถนนรัฐบำรุง 43 ซึ่งมีตลาดเก่าและบ้านไม้เก่า 2 ชั้นอยู่ในพื้นที่ นอกจากนี้ปัจจุบันบริเวณถนนรัฐบำรุง 43 ได้พัฒนาเป็นถนนคนเดิน ""ตลาด 200 ปี"""
305,ชุมชนตลาดริมทางรถไฟสามร้อยยอด (บ้านไร่เก่า),ไร่เก่า,สามร้อยยอด,ประจวบคีรีขันธ์,ตะวันตก,595729.1082,1350412.043,ชุมชนตลาดริมทางรถไฟสามร้อยยอด (บ้านไร่เก่า) เป็นชุมชนตลาดเก่า (ชาวจีน) ตั้งอยู่ที่บ้านสามร้อยยอด (หมู่ 2) มีบ้านเรือนหนาแน่นบริเวณทางฝั่งตะวันตกของสถานีรถไฟสามร้อยยอดและบริเวณโดยรอบวัดตรีสตกูฏ โดยมีศาลเจ้าในชุมชนและบริเวณโดยรอบเป็นแปลงนาข้าว นอกจากนี้ในชุมชนยังประเพณีที่สำคัญ คือ ตักบาตรดาวดึงส์ (ตักบาตรข้าวสารและลูกอมในช่วงออกพรรษาของทุกปี)
306,ชุมชนกุยบุรี,กุยบุรี,กุยบุรี,ประจวบคีรีขันธ์,ตะวันตก,594323.0402,1334232.778,ชุมชนกุยบุรี เป็นชุมชนย่านตลาดเก่า (ในพื้นที่เมืองเก่าตั้งแต่สมัยกรุงศรีอยุธยาตอนต้น) ต่อเนื่องกับบริเวณสถานีรถไฟกุยบุรี โดยมีบ้านไม้เก่า 2 ชั้นและบ้านเก่าแบบตึกปูน 2 ชั้น โดยเฉพางฝั่งตะวันตกออกของสถานีรถไฟกุยบุรี ซึ่งมีถนนขนาดกว้างตัดผ่านไปถนนเพชรเกษม โดยพื้นที่ส่วนใหญ่เป็นที่ที่ราบเชิงเขา พื้นดินส่วนใหญ่เป็นดินร่วนปนทรายเหมาะแก่การทำเกษตรกรรมและเลี้ยงสัตว์ ซึ่งพื้นที่รอบนอกชุมชนนั้นจะเป็นพื้นที่นากุ้ง
307,ชุมชนตลาดริมทางรถไฟประจวบคีรีขันธ์,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,ตะวันตก,586648.864,1305286.962,ชุมชนตลาดริมทางรถไฟประจวบคีรีขันธ์ เป็นบริเวณตลาดเก่า ในบริเวณที่ราบชายฝั่งทะเล ซึ่งมีคลองบางนางรมไหลผ่านกลางพื้นที่ โดยมีบ้านเรือนอยู่อาศัย ร้านค้าและบางส่วนจะเป็นสวนมะพร้าวบ้างเล็กน้อย ในพื้นที่มีบ้านไม้ 2 ชั้น เป็นยาวตลอดถนนมหาราช 1 ที่อยู่ทางฝั่งตะวันออกของสถานีรถไฟ
308,ชุมชนตลาดริมทางรถไฟทับสะแก,ทับสะแก,ทับสะแก,ประจวบคีรีขันธ์,ตะวันตก,567709.1876,1271250.104,ชุมชนตลาดริมทางรถไฟทับสะแก เป็นชุมชนย่านตลาดการค้าบริเวณรอบสถานีรถไฟทับสะแกต่อเนื่องไปทางเส้นถนนฝั่งตะวันตก ปัจจุบันพบอาคารห้องแถวปูน 2 ชั้นอยู่บ้างในพื้นที่ โดยเฉพาะบริเวณฝั่งตะวันตกของสถานีรถไฟ ปัจจุบันบริเวณตลาดมีกลุ่มอาชีพที่น่าสนใจ เช่น ถ่านกะลามะพร้าวอัดแท่ง ตุ๊กตาไหมพรมและชุดจานรองบนโต๊ะอาหาร เป็นต้น โดยพื้นที่รอบนอกย่านชุมชนเป็นสวนผลไม้
309,ชุมชนตลาดริมทางรถไฟบางสะพานน้อย,บางสะพาน,บางสะพานน้อย,ประจวบคีรีขันธ์,ตะวันตก,550043.8006,1225259.3,ชุมชนตลาดริมทางรถไฟบางสะพานน้อย เป็นชุมชนย่านตลาดการค้าเก่าบริเวณรอบสถานีรถไฟบางสะพานน้อย ต่อเนื่องไปทางถนนฝั่งตะวันออกของสถานีรถไฟและบริเวณวัดคลองน้ำเค็ม โดยมีคลองน้ำเค็มไหลผ่านพื้นที่ออกสู่ทะเล และมีบริเวณรอบนอกเป็นเรือกสวนไร่นาบนที่ราบลุ่มดินอุดมสมบูรณ์เหมาะทำการเกษตร และในพื้นที่ข้างเคียงมีถ้ำเขานกแสกและถ้ำเขาพัสดุเป็นสถานที่สำคัญ
310,ชุมชนรอบสถานีรถไฟบางสะพานใหญ่,กำเนิดนพคุณ,บางสะพาน,ประจวบคีรีขันธ์,ตะวันตก,555798.0012,1239501.718,ชุมชนรอบสถานีรถไฟบางสะพานใหญ่ เป็นชุมชนเก่าบริเวณรอบสถานีรถไฟบางสะพานใหญ่ทั้งสองฝั่ง ซึ่งที่มีบ้านห้องแถวไม้ 2 ชั้น อยู่หลายหลังบริเวณถนนบางสะพานและถนนรัตนโกสินทร์ที่ทางฝั่งตะวันออกของสถานีรถไฟ โดยมีพื้นที่เกษตรกรรมอยู่บริเวณรอบนอกชุมชน
311,ชุมชนรอบสถานีรถไฟบ้านกรูด,ธงชัย,บางสะพาน,ประจวบคีรีขันธ์,ตะวันตก,560641.5228,1254444.568,ชุมชนรอบสถานีรถไฟบ้านกรูด เป็นชุมชนเกษตรกรรมที่มีบ้านห้องแถวไม้ 2 ชั้น หลังคากระเบื้องว่าว โดยเฉพาะอาคารบ้านเรือนทางฝั่งตะวันออกของสถานีรถไฟ มีลำคลองไหลผ่านพื้นที่และมีพื้นที่เกษตรกรรมอยู่บริเวณรอบนอกชุมชน
312,ชุมชนปากน้ำปราณบุรี,ปากน้ำปราณ,ปราณบุรี,ประจวบคีรีขันธ์,ตะวันตก,607738.0625,1371654.938,ชุมชนปากน้ำปราณบุรี เป็นชุมชนชาวประมงบริเวณปากแม่น้ำปราณบุรี ซึ่งมีสถานที่พักผ่อนบริเวณชายหาดที่มีความงดงาม บ้านเรือนตั้งอยู่บริเวณช่วงที่แม่น้ำปราณบุรีไหลลงสู่ทะเล โดยเฉพาะสองฝั่งของทางหลวงหมายเลข 3168 ชาวบ้านส่วนใหญ่ประกอบอาชีพประมง ชุมชนแห่งนี้จึงกลายเป็นศูนย์รวมและจำหน่ายอาหารทะเลที่ขึ้นชื่อ เช่น ปลาหมึกสด ปลาหมึกแดดเดียว ปลาหมึกแห้ง กะปิเคย กุ้งแห้ง ฯลฯ รวมทั้งมีประเพณีการเล่นแม่ศรี (เทศกาลสงกรานต์) ที่จัดขึ้นทุกปีด้วย
313,ชุมชนบ้านบางปู,สามร้อยยอด,สามร้อยยอด,ประจวบคีรีขันธ์,ตะวันตก,609597.1995,1349468.337,ชุมชนบ้านบางปู เป็นชุมชนชาวประมงบริเวณชายหาดบางปู ตั้งอยู่หมู่ที่ 8 ตำบลสามร้อยยอด เป็นพื้นที่ที่มีถนน รพช. และคลองบางปูตัดผ่านพื้นที่แนวเหนือใต้ บริเวณรอบนอกเป็นพื้นที่ทำสวนทำไร่ ปัจจุบันมีกิจกรรมการล่องเรือท่องเที่ยวเชิงอนุรักษ์และการทำเคย (กะปิ) เป็นสินค้าโอท๊อปชุมชน และยังเป็นแหล่งจำหน่ายอาหารทะเลและจุดจอดเรือที่สำคัญอีกด้วย
314,ชุมชนคลองวาฬ,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,ตะวันตก,586249.6278,1299313.733,ชุมชนคลองวาฬ เป็นชุมชนโบราณบริเวณชายฝั่งทะเลอ่าวไทย บริเวณ หมู่ 1 บ้านคลองวาฬ เป็นแหล่งเพาะ เลี้ยงสัตว์ทะเลและแหล่งผลิตภัณฑ์จากอาหารทะเล โดยมีบริเวณรอบนอกชุนชนเป็นพื้นที่เกษตรกรรม (ทำสวน) นอกจากนี้ในชุมชนยังมีสินค้าและผลิตภัณฑ์ที่น่าสนใจ เช่น กลุ่มเค้กคลองวาฬใจ ผลิตภัณฑ์ประดับมุก (ไข่มุก) และผลิตภัณฑ์อาหารทะเลปลอดสารพิษ
315,ชุมชนตลาดลาดชะโด,หนองน้ำใหญ่,ผักไห่,พระนครศรีอยุธยา,กลาง,642135.3001,1599086.025,"ชุมชนตลาดลาดชะโด ย่านตลาดริมน้ำที่เป็นห้องแถวไม้ในพื้นที่ราบลุ่ม ""หนองน้ำใหญ่"" ที่มีลำคลองไหลผ่านพื้นที่ ชุมชนดังกล่าวมีถนนสายสำคัญซึ่งได้รับการขนานนามว่าเป็น ""ถนนแห่งแผ่นฟิล์ม"" รวมไปถึงชุมชนพื้นถิ่นที่เกาะอยู่กับตลาด เป็นชุมชนหมู่บ้านสองฤดู มีสะพานทางเดินเชื่อมถึงกัน"
316,ชุมชนตลาดหัวรอ,สวนพริก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,669776.3082,1588483.409,ชุมชนตลาดหัวรอ เป็นชุมชนย่านตลาดโบราณอายุ 200 กว่าปี ซึ่งมีร้านค้า ร้านขายอาหาร ร้านก๋วยเตี๋ยว ร้านขนมโบราณและร้านโชว์ห่วยมากมาย โดยเฉพาะบริเวณถนนอู่ทอง ซึ่งร้านค้าแต่ละร้านนั้นเปิดมาไม่ต่ำกว่า 50 ปี ปัจจุบันอยู่ในความดูแลของสำนักงานทรัพย์สินส่วนพระมหากษัตริย์ โดยส่งเสริมเป็นตลาดท่องเที่ยวเชิงอนุรักษ์
317,ชุมชนตลาดเจ้าพรหม,หอรัตนไชย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,670135.1273,1587857.14,ชุมชนตลาดเจ้าพรหม เป็นย่านตลาดในลักษณะที่เป็นตึกเก่าบริเวณถนนอู่ทองและถนนหอรัตนไชย ตั้งอยู่บริเวณฝั่งตะวันตกของแม่น้ำป่าสักที่ไหลผ่านตัวเมืองอยุธยา ปัจจุบันมีหลังคาคลุมกันฝนและแดด คล้าย ๆ กับ ตลาดอื่น ๆ มีขายทั้งอาหารสด อาหารแห้ง เนื้อ ผัก ผลไม้ เสื้อผ้า ของใช้ในบ้านและอื่น ๆ
318,ชุมชนเจ้าเจ็ด,เจ้าเจ็ด,เสนา,พระนครศรีอยุธยา,กลาง,648425.7833,1582819.794,"ชุมชนเจ้าเจ็ด เป็นชุมชนเก่าตั้งแต่สมัยอยุธยาบริเวณลำน้ำเจ้าเจ็ด-บางยี่หน โดยทางเทศบาลเจ้าเจ็ด ได้มีการให้บริการนักท่องเที่ยวนั่งเรือชมทิวทัศน์สองฝั่งคลองเจ้าเจ็ด วัด งานแห่เรือ หลวงพ่อพุทธเกษร ซึ่งปัจจุบันมีการจัดตั้ง ""กองทุนรักษ์เจ้าเจ็ดบ้านเกิด"" ด้วย รวมถึงมีก๋วยเตี๋ยวเรือเป็นอาหารที่มีชื่อเสียงของชาวเจ้าเจ็ด"
319,ชุมชนบ้านกรด (วัดขนอน),บ้านกรด,บางปะอิน,พระนครศรีอยุธยา,กลาง,672966.156,1581021.3,ชุมชนบ้านกรด (วัดขนอน) เป็นย่านชุมชนริมน้ำ ที่มีคลองห้วยกรดหรือคลองบ้านกรดมาบรรจบกับคลองโพ ในอดีตจึงเป็นที่ตั้งของด่านเก็บภาษีริมคลอง ซึ่งมีคลองควายขุดมาสบทบผ่านหน้าวัดขนอนเหนืออีกสายหนึ่งด้วย โดยในช่วงออกพรรษาจะมีพระธุดงค์มาปักกรดตามต้นสะตือ
320,ชุมชนรางจระเข้,รางจระเข้,เสนา,พระนครศรีอยุธยา,กลาง,648971.07,1586461.946,ชุมชนรางจระเข้ เป็นชุมชนเก่าบนพื้นที่เป็นที่ราบลุ่มริมสองฝั่งคลองรางจรเข้ (ในอดีตมีจระเข้ชุกชุมมาก) ซึ่งไม่ได้มีการเคลื่อนย้ายหลักแหล่งมากนักและอยู่สืบทอดต่อ ๆ กันมา ชาวบ้านส่วนใหญ่ประกอบอาชีพทำนาและมีความเกี่ยวพันกันทางเชื้อสาย (มักแต่งงานกับคนในละแวกเดียวกัน) ปัจจุบันมีกลุ่มอาชีพในชุมชน เช่น ศิลปหัตถกรรมจากกิ่งไม้และกลุ่มผลิตกระเป๋าหนังต่อ
321,ชุมชนคลองตะเคียน,คลองตะเคียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,668243.0238,1584183.705,"ชุมชนคลองตะเคียน เป็นตำบลเก่าแก่มาแต่สมัยกรุงศรีอยุธยาเป็นราชธานี เนื่องจากเป็นชุมชนชาวมุสลิมเชื้อสายมลายูที่มาทำการค้าสมัยอยุธยาใช้เป็นสถานที่พำนักพักพิง ซึ่งสถานที่ตั้งตำบลมีลำคลองใหญ่ เคยมีต้นตะเคียนขนาดใหญ่ โดยในสมัยโบราณใช้เป็นเส้นทางล่องซุงทำไม้ จึงได้เรียกชื่อตำบลตามชื่อลำคลองว่า ""ตำบลคลองตะเคียน"""
322,ชุมชนปากกราน,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,667298.4633,1584620.282,"ชุมชนปากกราน เป็นชุมชนริมน้ำตั้งแต่ในสมัยกรุงศรีอยุธยา โดยตำบลปากกรานและตำบลบ้านป้อมมีพื้นที่ติดต่อกันมากที่สุด 2 ตำบลนี้จึงเป็นส่วนเดียวกัน เรียกว่า ""ป้อมปราการ"" ซึ่งตั้งอยู่ทางทิศตะวันตกของกรุงศรีอยุธยาที่ถูกกำหนดเป็นพื้นที่ป้อมกันข้าศึก ชาวพุทธเป็นคนพื้นเพเดิมของอยุธยา แต่ชาวอิสลามในพื้นที่ได้อพยพมาจากแหลมมลายูในแถบประเทศมาเลเซีย"
323,ชุมชนตลาดท่าเรือ,ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,กลาง,685729.6568,1610790.109,"ชุมชนตลาดท่าเรือ เป็นชุมชนย่านตลาดการค้าริมน้ำ ที่มีบ้านเรือนแบบสมัยเก่าปะปนอยู่กับแบบสมัยใหม่ ตัวตลาดอยู่ติดกับแม่น้ำป่าสัก และเมื่อ พ.ศ. 2508 เคยเกิดเหตุการณ์ครั้งสำคัญ จากการที่พวกโจร 17 คน บุกเข้าปล้นตลาดท่าเรือ (โดยการนำของเสือใบ กุลแพ หรือ ""เจ้าพ่อกำแพงเขย่ง"")"
324,ชุมชนรอบสถานีรถไฟบางปะอิน,บ้านเลน,บางปะอิน,พระนครศรีอยุธยา,กลาง,670482.2492,1573742.745,ชุมชนรอบสถานีรถไฟบางปะอิน เป็นชุมชนบริเวณโดยรอบสถานีรถไฟบางปะอิน ที่ตั้งอยู่บนที่ราบลุ่มฝั่งตะวันออกของแม่น้ำเจ้าพระยาในเขตตำบลบ้านเลน และตั้งอยู่ใกล้กับเกาะบางปะอิน ซึ่งสถานีรถไฟบางปะอินได้เปิดใช้งานตั้งแต่สมัยรัชกาลที่ 5 ถึงปัจจุบัน โดยตัวสถานีรถไฟยังคงสภาพและเอกลักษณ์ความเก่าแก่ไว้คงเดิม จุดเด่นของสถานีบางปะอินอยู่ที่การมีพลับพลารับเสด็จ
325,ชุมชนบ้านภาชี,ภาชี,ภาชี,พระนครศรีอยุธยา,กลาง,685588.4756,1598243.184,ชุมชนบ้านภาชี เป็นชุมชนบริเวณโดยรอบสถานีรถไฟชุมทางบ้านภาชีและต่อเนื่องถึงบริเวณตลาด ซึ่งเป็นตลาดขนาดย่อมที่ขายของกินแบบวันเดียวเดินเที่ยวชมได้ทั่ว โดยจะพบอาคารห้องแถวที่เป็นที่พักของพนักงานรถไฟและบ้านเรือนที่พักอาศัยของประชาชนที่เป็นบ้านไม้อยู่บ้างในพื้นที่ โดยเฉพาะบริเวณถนนเทศบาลทางด้านทิศใต้ของสถานีรถไฟ
326,ชุมชนบ้านแสงโสม,ขนอนหลวง,บางปะอิน,พระนครศรีอยุธยา,กลาง,670285.5548,1579377.639,"ชุมชนบ้านแสงโสม ในอดีตเป็นด่านขนอน (ด่านเก็บภาษี) โดยชุมชนลักษณะเป็นบ้านเรือนไทยหมู่ใหญ่ คงความเป็นสถาปัตยกรรมไทยโบราณ และสามารถสัมผัสกับบรรยากาศเก่า ๆ แบบสมัยกรุงศรีอยุธยาได้ ซึ่งตลาดมีการขายสินค้าที่วางอยู่บนพื้นดิน โดยคนที่มาซี้อสินค้าจะต้องโก้งโค้งเลือกดูสินค้าที่ตนสนใจ จึงกลายมาเป็นชื่อของ ""ตลาดโก้งโค้ง"""
327,ชุมชนตลาดบ้านแพน,บ้านแพน,เสนา,พระนครศรีอยุธยา,กลาง,651356.1641,1584183.241,"ชุมชนตลาดบ้านแพน เป็นย่านตลาดเก่าที่เคยเป็นจุดเปลี่ยนถ่ายในการสัญจรทางน้ำในอดีต เนื่องจากมีสภาพพื้นที่ส่วนใหญ่เป็นที่ราบลุ่มที่มีแม่น้ำน้อยไหลผ่าน โดยมีตลาดสดอายุกว่าร้อยปีที่ชาวบ้านเรียกว่า ""ตลาดบ้านแพน"" ซึ่งตัวอาคารยังคงเห็นเป็นอาคารไม้โดยส่วนใหญ่ แต่ยังคงบรรยากาศตลาดที่มีผู้คนออกมาซื้อหาอาหารและเครื่องใช้ไม้สอยอย่างคึกคักในช่วงเวลาเช้าและเย็น"
328,ชุมชนหมู่บ้านริมคลองบางบาล,วัดยม ,บางบาล,พระนครศรีอยุธยา,กลาง,659459.4749,1591733.816,ชุมชนหมู่บ้านริมคลองบางบาล เป็นชุมชนชาวนาดั้งเดิมที่ตั้งถิ่นฐานบริเวณคลองบางบาล ซึ่งเป็นเส้นทางแม่น้ำเจ้าพระยาสายเก่า (เป็นลำคลองที่ตัดผ่านหลายตำบลในอำเภอบางบาล) เห็นได้จากมีวัดสมัยอยุธยาตั้งอยู่ตามลำน้ำ ชุมชนยังประกอบอาชีพทำนา บ้านเรือนเป็นเรือนไทยมีใต้ถุน เนื่องจากยังมีสภาพน้ำหลากทุกปี ปัจจุบันมีกลุ่มงานปั้นจิ๋วในพื้นที่ด้วย
329,ชุมชนหมู่บ้านริมคลองลาดชิด,ลาดชิด,ผักไห่,พระนครศรีอยุธยา,กลาง,647036.0973,1597195.327,ชุมชนหมู่บ้านริมคลองลาดชิด เป็นชุมชนชาวนาดั้งเดิมที่ตั้งถิ่นฐานบนพื้นที่ราบลุ่มบริเวณคลองลาดชิด เป็นลักษณะการตั้งเรือนขวางลำน้ำธรรมชาติที่ไหลผ่าน คือ แม่น้ำแควน้อย ซึ่งไหลผ่านกลางตำบลทางตอนเหนือลงมาทางทิศใต้ และยังมีคลองตาลานซึ่งแยกมาจากแม่น้ำแควน้อย โดยชุมชนมีความหนาแน่น ประกอบไปด้วยกลุ่มเรือนไทยที่สร้างชิดติดกัน กลุ่มบ้านอยู่รวมกันเป็นลักษณะเครือญาติ
330,ชุมชนเมืองเพชรบุรี,ท่าราบ,เมืองเพชรบุรี,เพชรบุรี,ตะวันตก,602838.7059,1448796.805,ชุมชนเมืองเพชรบุรี เป็นย่านชุมชนเมือง ซึ่งตั้งอยู่สองฝั่งของริมแม่น้ำเพชร คาบเกี่ยวบริเวณถนนพานิชเจริญ ย่านหัวถนนและต่อเนื่องถึงสถานีรถไฟเพชรบุรีปัจจุบันมีห้องแถวไม้ 2 ชั้น บริเวณถนนดำเนินเกษม (ฝั่งตะวันตกของสถานีรถไฟ)
331,ชุมชนบางตะบูน,บางตะบูน,บ้านแหลม,เพชรบุรี,ตะวันตก,602697.0835,1466976.198,"ชุมชนบางตะบูน เป็นชุมชนชาวประมง บริเวณปากน้ำบางตะบูน ซึ่งใกล้ ๆ กับสะพานริมอ่าวบางตะบูนจะมองเห็นกระเตงมากมายเป็นจุด ๆ ในทะเล ปัจจุบันเป็นแหล่งฟาร์มหอยแครงและนาเกลือสมุทรรายใหญ่ของจังหวัดเพชรบุรี โดยมีต้น ""ตะบูน"" เป็นสัญลักษณ์ของพื้นที่"
332,ชุมชนตลาดบ้านลาด,บ้านลาด,บ้านลาด,เพชรบุรี,ตะวันตก,599586.868,1442983.912,ชุมชนตลาดบ้านลาด เป็นชุมชนย่านการค้า ซึ่งมีถนนทางหลวงหมายเลข 3179 ตัดผ่านพื้นที่ บริเวณดังกล่าวเป็นที่ตั้งของสถานที่ราชการและสถานที่สำคัญประจำอำเภอ โดยมีพื้นที่ส่วนใหญ่เป็นดินร่วนปนทรายเหมาะแก่การเพาะปลูกผักและผลไม้ มีแม่น้ำเพชรบุรีและคลองชลประทานไหลผ่าน สินค้าที่ขึ้นชื่อ เช่น ชมพู่ทองสามสีและดอกไม้ประดิษฐ์จากผ้าใยบัว เป็นต้น
333,ชุมชนตลาดท่ายาง,ท่ายาง,ท่ายาง,เพชรบุรี,ตะวันตก,596849.4783,1434354.298,ชุมชนตลาดท่ายาง เป็นย่านตลาดการค้า บริเวณถนนเทศบาลต่อเนื่องถึงริมแม่น้ำเพชรบุรี ซึ่งมีห้องแถวไม้ 2 ชั้น เป็นกลุ่มแถวยาวปะปนอยู่กับอาคารสมัยใหม่ โดยมีสภาพพื้นที่เป็นที่ราบลุ่ม มีแม่น้ำเพชรบุรีและคลองชลประทานไหลผ่านพื้นที่
334,ชุมชนตลาดเก่าบ้านแหลม,บ้านแหลม,บ้านแหลม,เพชรบุรี,ตะวันตก,606727.9225,1461051.081,ชุมชนตลาดเก่าบ้านแหลม เป็นชุมชนตลาดการค้าเก่าและชุมชนชาวประมง โดยเฉพาะบริเวณถนนประมงเจริญและถนนแม่แดงอุทิศ พื้นที่ส่วนใหญ่เป็นที่ราบชายฝั่งทะเลที่มีน้ำทะเลท่วมถึง ซึ่งเดิมบริเวณชายทะเลนั้นมีพื้นที่ไม่มากนัก ต่อมาพื้นที่งอกขยายออกไปจึงมีคนอพยพมาอาศัยทำมาหากินมากขึ้น ส่วนใหญ่เป็นคนจีนไหหลำที่อพยพมาทางเรือสำเภา ปัจจุบันจึงเป็นแหล่งผลิตและจำหน่ายกะปิและเกลือสมุทร
335,ชุมชนไทดำบ้านเขาย้อย,เขาย้อย,เขาย้อย,เพชรบุรี,ตะวันตก,589413.6,1463354.94,"ชุมชนไทดำบ้านเขาย้อย เป็นชุมชนชาวไทดำหรือไทยทรงดำ ที่ตั้งถิ่นฐานอยู่บริเวณ ""เขาย้อย""ทางฝั่งตะวันตกของถนนเพชรเกษม ปัจจุบันมีหมู่บ้านท่องเที่ยว ""ศูนย์วัฒนธธรรมไทยทรงดำ"" ซึ่งเป็นแหล่งศึกษาวัฒนธรรมประเพณีไทยทรงดำที่เป็นเอกลักษณ์ในพื้นที่ โดยมีสินค้าประจำตำบล ได้แก่ ผ้าทอพื้นเมือง (ผ้าทอไทดำ) ขนมกาละแมโบราณและสิ่งประดิษฐ์จากใบลาน เป็นต้น"
336,ชุมชนไทดำบ้านหนองปรง,หนองปรง,เขาย้อย,เพชรบุรี,ตะวันตก,590950.9351,1455813.383,"ชุมชนไทดำบ้านหนองปรง เป็นชุมชนไทดำหรือชาวลาวโซ่ง ที่อพยพเข้ามาตั้งถิ่นฐานที่บ้านหนองปรงตั้งแต่สมัย ร.3 พื้นที่ส่วนใหญ่เป็นที่ราบลุ่ม ชาวบ้านส่วนใหญ่เป็นชาว นิยมปลูกบ้านเรือนด้วยไม้ ยกใต้ถุนบ้านสูงไว้เลี้ยงสัตว์ต่าง ๆ และทำงานหัตถกรรมเพื่อเป็นรายได้เสริม โดยมีสถานที่สำคัญ คือ ""บ้านไทยทรงดำ"" ซึ่งสร้างเพื่อเป็นอนุสรณ์ เมื่อปี พ.ศ. 2536 ภายในจะมีประวัติ วิถีความเป็นอยู่วัฒนธรรมการแต่งกายและการไว้ทรงผมของชาวไทยทรงดำแต่อดีตให้ได้ศึกษา"
337,ชุมชนกะเหรี่ยงบ้านสองพี่น้อง,สองพี่น้อง,แก่งกระจาน,เพชรบุรี,ตะวันตก,568564.5292,1425653.903,"ชุมชนกะเหรี่ยงบ้านสองพี่น้อง เป็นชุมชนกระเหรี่ยง หรือ ""หมู่บ้านกะเหรี่ยง"" ในเขตตำบลสองพี่น้อง ซึ่งในอดีตได้อพยพมาจากชายแดนพม่าและเข้ามาตั้งถิ่นฐานอยู่ทางฝั่งตะวันออกของอ่างเก็บน้ำเขื่อนแก่งกระจาน ซึ่งปัจจุบันมีทางหลวงหมายเลข 3432 ตัดผ่านพื้นที่ในแนวเหนือ-ใต้ เป็นพื้นที่ราบเชิงเขา ซึ่งส่วนหนึ่งอยู่ในเขตป่าสงวนแห่งชาติ โดยมีสินค้าสำคัญ คือ ศิลปประดิษฐ์จากเศษไม้"
338,ชุมชนบ้านท้ายหลวง,สะพานไกร,บ้านลาด,เพชรบุรี,ตะวันตก,594468.4262,1447694.666,ชุมชนบ้านท้ายหลวง เป็นชุมชนเกษตรกรรมที่มีเรือนทรงไทยอยู่หลายหลังในพื้นที่ ปัจจุบันเป็นแหล่งผลิตทำตาลโตนดที่มีชื่อเสียง เนื่องจากพื้นที่ส่วนใหญ่ของตำบลเป็นพื้นที่ราบลุ่ม มีคลองบางจากไหลผ่านทางด้านทิศตะวันตกของตำบล เหมาะสำหรับทำนาและทำตาล (น้ำตาลโตนด)
339,ชุมชนบ้านไร่สะท้อน,ไร่สะท้อน,บ้านลาด,เพชรบุรี,ตะวันตก,593664.6655,1439140.048,ชุมชนบ้านไร่สะท้อน เป็นชุมชนเกษตรกรรมที่มีเรือนทรงไทยอยู่หลายหลัง โดยมีทางหลวงหมายเลข 3204 ตัดผ่านกลางพื้นที่ ในอดีตชุมชนมีสภาพเป็นป่าเขาสำเนาไพร ต่อมาได้มีผู้คนอพยพเข้ามาบุกเบิกถางฟันป่าเพื่อเพาะปลูกทำมาหากิน โดยเฉพาะการทำนา ทำตาลโตนดและสวนกล้วยหอม ปัจจุบันเป็นแหล่งผลิตทำตาลโตนด (น้ำตาลปึก) ที่มีชื่อเสียง
